Date,total_administered,total_distributed,population_vaccinated,vaccination_rate
10/10/2021,0,0,0,0
10/11/2021,0,0,0,0
10/12/2021,0,0,0,0
10/13/2021,0,0,0,0
10/14/2021,0,0,0,0
10/15/2021,0,0,0,0
10/16/2021,0,0,0,0
10/17/2021,0,0,0,0
10/18/2021,0,0,0,0
10/19/2021,0,0,0,0
10/20/2021,0,0,0,0
10/21/2021,0,0,0,0
10/22/2021,0,0,0,0
10/23/2021,0,0,0,0
10/24/2021,0,0,0,0
10/25/2021,0,0,0,0
10/26/2021,0,0,0,0
10/27/2021,0,0,0,0
10/28/2021,0,0,0,0
10/29/2021,0,0,0,0
10/30/2021,0,0,0,0
10/31/2021,0,0,0,0
11/1/2021,0,0,0,0
11/2/2021,0,0,0,0
11/3/2021,0,0,0,0
11/4/2021,0,0,0,0
11/5/2021,0,0,0,0
11/6/2021,0,0,0,0
11/7/2021,0,0,0,0
11/8/2021,0,0,0,0
11/9/2021,0,0,0,0
11/10/2021,0,0,0,0
11/11/2021,0,0,0,0
11/12/2021,0,0,0,0
11/13/2021,0,0,0,0
11/14/2021,0,0,0,0
11/15/2021,0,0,0,0
11/16/2021,0,0,0,0
11/17/2021,0,0,0,0
11/18/2021,0,0,0,0
11/19/2021,0,0,0,0
11/20/2021,0,0,0,0
11/21/2021,0,0,0,0
11/22/2021,0,0,0,0
11/23/2021,0,0,0,0
11/24/2021,0,0,0,0
11/25/2021,0,0,0,0
11/26/2021,0,0,0,0
11/27/2021,0,0,0,0
11/28/2021,0,0,0,0
11/29/2021,0,0,0,0
11/30/2021,0,0,0,0
12/1/2021,0,0,0,0
12/2/2021,0,0,0,0
12/3/2021,0,0,0,0
12/4/2021,0,0,0,0
12/5/2021,0,0,0,0
12/6/2021,0,0,0,0
12/7/2021,0,0,0,0
12/8/2021,0,0,0,0
12/9/2021,0,0,0,0
12/10/2021,0,0,0,0
12/11/2021,0,0,0,0
12/12/2021,0,0,0,0
12/13/2021,0,0,0,0
12/14/2021,0,0,0,0
12/15/2021,0,0,0,0
12/16/2021,0,0,0,0
12/17/2021,0,0,0,0
12/18/2021,0,0,0,0
12/19/2021,0,0,0,0
12/20/2021,0,0,0,0
12/21/2021,0,0,0,0
12/22/2021,0,0,0,0
12/23/2021,0,0,0,0
12/24/2021,0,0,0,0
12/25/2021,0,0,0,0
12/26/2021,0,0,0,0
12/27/2021,0,0,0,0
12/28/2021,0,0,0,0
12/29/2021,0,0,0,0
12/30/2021,0,0,0,0
12/31/2021,0,0,0,0
1/1/2022,0,0,0,0
1/2/2022,0,0,0,0
1/3/2022,0,0,0,0
1/4/2022,0,0,0,0
1/5/2022,0,0,0,0
1/6/2022,0,0,0,0
1/7/2022,0,0,0,0
1/8/2022,0,0,0,0
1/9/2022,0,0,0,0
1/10/2022,0,0,0,0
1/11/2022,0,0,0,0
1/12/2022,0,0,0,0
1/13/2022,0,0,0,0
1/14/2022,0,0,0,0
1/15/2022,0,0,0,0
1/16/2022,0,0,0,0
1/17/2022,0,0,0,0
1/18/2022,0,0,0,0
1/19/2022,0,0,0,0
1/20/2022,0,0,0,0
1/21/2022,0,0,0,0
1/22/2022,0,0,0,0
1/23/2022,0,0,0,0
1/24/2022,0,0,0,0
1/25/2022,0,0,0,0
1/26/2022,0,0,0,0
1/27/2022,0,0,0,0
1/28/2022,0,0,0,0
1/29/2022,0,0,0,0
1/30/2022,0,0,0,0
1/31/2022,0,0,0,0
2/1/2022,0,0,0,0
2/2/2022,0,0,0,0
2/3/2022,0,0,0,0
2/4/2022,0,0,0,0
2/5/2022,0,0,0,0
2/6/2022,0,0,0,0
2/7/2022,0,0,0,0
2/8/2022,0,0,0,0
2/9/2022,0,0,0,0
2/10/2022,0,0,0,0
2/11/2022,0,0,0,0
2/12/2022,0,0,0,0
2/13/2022,0,0,0,0
2/14/2022,0,0,0,0
2/15/2022,0,0,0,0
2/16/2022,0,0,0,0
2/17/2022,0,0,0,0
2/18/2022,0,0,0,0
2/19/2022,0,0,0,0
2/20/2022,0,0,0,0
2/21/2022,0,0,0,0
2/22/2022,0,0,0,0
2/23/2022,0,0,0,0
2/24/2022,0,0,0,0
2/25/2022,0,0,0,0
2/26/2022,0,0,0,0
2/27/2022,0,0,0,0
2/28/2022,0,0,0,0
3/1/2022,0,0,0,0
3/2/2022,0,0,0,0
3/3/2022,0,0,0,0
3/4/2022,0,0,0,0
3/5/2022,0,0,0,0
3/6/2022,0,0,0,0
3/7/2022,0,0,0,0
3/8/2022,0,0,0,0
3/9/2022,0,0,0,0
3/10/2022,0,0,0,0
3/11/2022,0,0,0,0
3/12/2022,0,0,0,0
3/13/2022,0,0,0,0
3/14/2022,0,0,0,0
3/15/2022,0,0,0,0
3/16/2022,0,0,0,0
3/17/2022,0,0,0,0
3/18/2022,0,0,0,0
3/19/2022,0,0,0,0
3/20/2022,0,0,0,0
3/21/2022,0,0,0,0
3/22/2022,0,0,0,0
3/23/2022,0,0,0,0
3/24/2022,0,0,0,0
3/25/2022,0,0,0,0
3/26/2022,0,0,0,0
3/27/2022,0,0,0,0
3/28/2022,0,0,0,0
3/29/2022,0,0,0,0
3/30/2022,0,0,0,0
3/31/2022,0,0,0,0
4/1/2022,0,0,0,0
4/2/2022,0,0,0,0
4/3/2022,0,0,0,0
4/4/2022,0,0,0,0
4/5/2022,0,0,0,0
4/6/2022,0,0,0,0
4/7/2022,0,0,0,0
4/8/2022,0,0,0,0
4/9/2022,0,0,0,0
4/10/2022,0,0,0,0
4/11/2022,0,0,0,0
4/12/2022,0,0,0,0
4/13/2022,0,0,0,0
4/14/2022,0,0,0,0
4/15/2022,0,0,0,0
4/16/2022,0,0,0,0
4/17/2022,0,0,0,0
4/18/2022,0,0,0,0
4/19/2022,0,0,0,0
4/20/2022,0,0,0,0
4/21/2022,0,0,0,0
4/22/2022,0,0,0,0
4/23/2022,0,0,0,0
4/24/2022,0,0,0,0
4/25/2022,0,0,0,0
4/26/2022,0,0,0,0
4/27/2022,0,0,0,0
4/28/2022,0,0,0,0
4/29/2022,0,0,0,0
4/30/2022,0,0,0,0
5/1/2022,0,0,0,0
5/2/2022,0,0,0,0
5/3/2022,0,0,0,0
5/4/2022,0,0,0,0
5/5/2022,0,0,0,0
5/6/2022,0,0,0,0
5/7/2022,0,0,0,0
5/8/2022,0,0,0,0
5/9/2022,0,0,0,0
5/10/2022,0,0,0,0
5/11/2022,0,0,0,0
5/12/2022,0,0,0,0
5/13/2022,0,0,0,0
5/14/2022,0,0,0,0
5/15/2022,0,0,0,0
5/16/2022,0,0,0,0
5/17/2022,0,0,0,0
5/18/2022,0,0,0,0
5/19/2022,0,0,0,0
5/20/2022,0,0,0,0
5/21/2022,0,0,0,0
5/22/2022,0,0,0,0
5/23/2022,0,0,0,0
5/24/2022,0,0,0,0
5/25/2022,0,0,0,0
5/26/2022,0,0,0,0
5/27/2022,0,0,0,0
5/28/2022,0,0,0,0
5/29/2022,0,0,0,0
5/30/2022,0,0,0,0
5/31/2022,0,0,0,0
6/1/2022,0,0,0,0
6/2/2022,0,0,0,0
6/3/2022,0,0,0,0
6/4/2022,0,0,0,0
6/5/2022,0,0,0,0
6/6/2022,0,0,0,0
6/7/2022,0,0,0,0
6/8/2022,0,0,0,0
6/9/2022,0,0,0,0
6/10/2022,0,0,0,0
6/11/2022,0,0,0,0
6/12/2022,0,0,0,0
6/13/2022,0,0,0,0
6/14/2022,0,0,0,0
6/15/2022,0,0,0,0
6/16/2022,0,0,0,0
6/22/2022,0,0,0,0
6/29/2022,0,0,0,0
7/6/2022,0,0,0,0
7/13/2022,0,0,0,0
7/20/2022,0,0,0,0
7/27/2022,0,0,0,0
8/3/2022,0,0,0,0
8/10/2022,0,0,0,0
8/17/2022,0,0,0,0
8/24/2022,0,0,0,0
8/31/2022,0,0,0,0
9/7/2022,0,0,0,0
9/14/2022,108269,0,0,0
9/21/2022,258978,1635000,0,0
9/28/2022,413436,2079100,0,0
10/5/2022,502019,2144900,0,0
10/12/2022,652184,2484300,0,0
10/19/2022,782389,2989400,817514,0.036157187
10/26/2022,1011194,3255200,1053865,0.046610571
11/2/2022,1204500,3585400,1253953,0.055460106
11/9/2022,1351511,3831500,1408456,0.062293498
11/16/2022,1459489,4058400,1522904,0.06735533
11/23/2022,1566678,4338800,1634027,0.072270102
11/30/2022,1641196,4424950,1711947,0.075716364
12/7/2022,1734642,4603680,1809130,0.080014595
12/14/2022,1832192,4784160,1909542,0.084455639
12/21/2022,1908595,4941080,1988294,0.0879387
12/28/2022,1910468,5057310,1992784,0.088137284
1/4/2023,1911846,5198570,1996360,0.088295444
1/11/2023,2093436,5402070,2177829,0.096321495
1/18/2023,2095010,5544810,2181400,0.096479434
1/25/2023,2181397,5686140,2267226,0.100275365
2/1/2023,2182729,5769530,2269454,0.100373905
2/8/2023,2200950,5871330,2287957,0.10119226
2/15/2023,2252138,5954790,2338216,0.103415126
2/22/2023,2272026,6034020,2358063,0.104292923
3/1/2023,2272830,6099830,2359297,0.104347501
3/8/2023,2287938,6174780,2374311,0.105011544
3/15/2023,2315514,6254140,2401167,0.106199337
3/22/2023,2327421,6323970,2412954,0.106720655
3/29/2023,2342453,6399520,2427778,0.107376294
4/5/2023,2353867,6469100,2445916,0.108178505
4/12/2023,2364769,6536120,2456866,0.108662804
4/19/2023,2375211,6597280,2459584,0.108783016
4/26/2023,2388760,6672430,2471895,0.10932751
5/3/2023,2419129,6812270,2496214,0.110403096
5/10/2023,2450524,6955820,2521516,0.111522158
